[Code]|[ControlNumber]|[Name]|[OKPID]
02 5121|6|Топливо для реактивных двигателей (керосин авиационный), не включенное в другие группировки в ред. Изменения 77/2009 ОКП,  утв.  Приказом Ростехрегулирования т 15.12.2009 N 784-ст)|126
02 5122|1|Керосины осветительные|127
02 5123|8|Топливо для реактивных двигателей для летательных аппаратов с дозвуковой скоростью полета введен Изменением 77/2009 ОКП, утв. Приказом Ростехрегулирования т 15.12.2009 N 784-ст)|128
02 5124|2|Топливо для реактивных двигателей для летательных аппаратов со сверхзвуковой скоростью полета введен Изменением 77/2009 ОКП, утв. Приказом Ростехрегулирования т 15.12.2009 N 784-ст)|129
02 5129|4|Керосины прочие|130
02 5130|5|Топливо дизельное, не включенное в другие группировки/ в ред. Изменения 77/2009 ОКП,  утв.  Приказом Ростехрегулирования т 15.12.2009 N 784-ст)|131
02 5131|0|- летнее (кроме судового) в ред. Изменения 77/2009 ОКП,  утв.  Приказом Ростехрегулирования т 15.12.2009 N 784-ст)|132
02 5132|6|- зимнее (кроме судового) в ред. Изменения 77/2009 ОКП,  утв.  Приказом Ростехрегулирования т 15.12.2009 N 784-ст)|133
02 5233|1|- специальное (кроме судового) в ред. Изменения 77/2009 ОКП,  утв.  Приказом Ростехрегулирования т 15.12.2009 N 784-ст)|134
02 5134|7|- судовое введен Изменением 77/2009 ОКП, утв. Приказом Ростехрегулирования т 15.12.2009 N 784-ст)|135
02 5139|4|- прочее|136
02 5140|1|Альтернативные виды топлива|137
02 5141|5|Этанольное моторное топливо с содержанием этанола свыше 5% по объему для двигателей внутреннего сгорания с принудительным зажиганием|138
02 5149|8|Альтернативные виды топлива прочие|139
02 5150|4|Топливо дизельное класса 2/ введен Изменением 77/2009 ОКП, утв. Приказом Ростехрегулирования т 15.12.2009 N 784-ст)|140
02 5151|6|- для арктического климата введен Изменением 77/2009 ОКП, утв. Приказом Ростехрегулирования т 15.12.2009 N 784-ст)|141
02 5152|5|- для холодного климата введен Изменением 77/2009 ОКП, утв. Приказом Ростехрегулирования т 15.12.2009 N 784-ст)|142
02 5153|0|- кроме топлива дизельного для холодного и арктического климата введен Изменением 77/2009 ОКП, утв. Приказом Ростехрегулирования т 15.12.2009 N 784-ст)|143
02 5160|9|Топливо дизельное класса 3/ введен Изменением 77/2009 ОКП, утв. Приказом Ростехрегулирования т 15.12.2009 N 784-ст)|144
02 5161|4|- для арктического климата введен Изменением 77/2009 ОКП, утв. Приказом Ростехрегулирования т 15.12.2009 N 784-ст)|145
02 5162|9|- для холодного климата введен Изменением 77/2009 ОКП, утв. Приказом Ростехрегулирования т 15.12.2009 N 784-ст)|146
02 5163|5|- кроме топлива дизельного для холодного и арктического климата введен Изменением 77/2009 ОКП, утв. Приказом Ростехрегулирования т 15.12.2009 N 784-ст)|147
02 5170|3|Топливо дизельное класса 4/ введен Изменением 77/2009 ОКП, утв. Приказом Ростехрегулирования т 15.12.2009 N 784-ст)|148
02 5171|9|- для арктического климата введен Изменением 77/2009 ОКП, утв. Приказом Ростехрегулирования т 15.12.2009 N 784-ст)|149
02 5172|4|- для холодного климата введен Изменением 77/2009 ОКП, утв. Приказом Ростехрегулирования т 15.12.2009 N 784-ст)|150
02 5173|2|- кроме топлива дизельного для холодного и арктического климата введен Изменением 77/2009 ОКП, утв. Приказом Ростехрегулирования т 15.12.2009 N 784-ст)|151
02 5180|8|Топливо дизельное класса 5/ введен Изменением 77/2009 ОКП, утв. Приказом Ростехрегулирования т 15.12.2009 N 784-ст)|152
02 5181|3|- для арктического климата введен Изменением 77/2009 ОКП, утв. Приказом Ростехрегулирования т 15.12.2009 N 784-ст)|153
02 5182|9|- для холодного климата введен Изменением 77/2009 ОКП, утв. Приказом Ростехрегулирования т 15.12.2009 N 784-ст)|154
02 5183|9|- кроме топлива дизельного для холодного и арктического климата введен Изменением 77/2009 ОКП, утв. Приказом Ростехрегулирования т 15.12.2009 N 784-ст)|155
02 5196|5|Топливо для судовых газотурбинных установок введен Изменением 77/2009 ОКП, утв. Приказом Ростехрегулирования т 15.12.2009 N 784-ст)|156
02 5190|2|Нефтепродукты светлые прочие|157
02 5192|3|Топливо печное бытовое|158
02 5193|9|Фракции керосино-газойлевые|159
02 5194|4|Поглотители|160
02 5195|0|Топливо газотурбинное (кроме топлива для судовых газотурбинных установок) в ред. Изменения 77/2009 ОКП,  утв.  Приказом Ростехрегулирования т 15.12.2009 N 784-ст)|161
02 5199|1|Нефтепродукты светлые прочие, ранее не указанные|162
02 5200|5|Нефтепродукты темные|163
02 5210|8|Мазут /|164
02 5211|5|- топочный (кроме мазута для мартеновских печей)|165
02 5212|0|- для мартеновских печей|166
02 5213|6|- флотский|167
02 5290|4|Нефтепродукты темные прочие введен Изменением 77/2009 ОКП, утв. Приказом Ростехрегулирования т 15.12.2009 N 784-ст)|168
02 5300|9|Масла смазочные (нефтяные)|169
02 5310|3|Масла / моторные|170
02 5311|9|- авиационные|171
02 5312|4|- для карбюраторных двигателей|172
02 5313|5|- дизельные|173
02 5314|5|- для карбюраторных и дизельных двигателей|174
02 5319|2|- прочие|175
02 5330|2|Масла гидравлические /|176
02 5331|8|- без присадок|177
02 5332|3|- с антиокислительными и антикоррозионными присадками|178
02 5333|9|- с противоизносными присадками|179
02 5334|4|- с противоизносными и загущающими присадками|180
02 5335|2|- с многофункциональными присадками|181
02 5336|5|- с антискачковыми присадками|182
02 5337|0|- трудновоспламеняемые|183
02 5339|1|- прочие|184
02 5340|7|Масла индустриальные /|185
02 5341|2|- общего назначения|186
02 5342|8|- для гидросистем, зубчатых передач промышленного оборудования (машинные)|187
02 5343|3|- для подшипников скольжения|188
02 5344|9|- для прокатных станов|189
02 5345|4|- приборные|190
02 5346|6|- специального назначения|191
02 5349|6|- прочие|192
02 5350|1|Масла электроизоляционные /|193
02 5351|7|- трансформаторные|194
02 5352|2|- конденсаторные|195
02 5353|8|- кабельные|196
02 5360|6|Масла трансмиссионные / для подвижной техники|197
02 5361|1|- без присадок|198
02 5362|7|- с противоизносными присадками|199
02 5363|2|- с противозадирными присадками|200
02 5364|8|- с присадками полифункционального действия (для гипоидных передач грузовых автомобилей)|201
02 5365|3|- с присадками полифункционального действия (для гипоидных передач легковых автомобилей)|202
02 5370|0|Масла компрессорные и турбинные|203
02 5371|6|Масла турбинные для газовых и паровых турбин|204
02 5372|1|Масла компрессорные для поршневых компрессоров|205
02 5373|7|Масла компрессорные для холодильных машин|206
02 5374|2|Масла компрессорные для вакуумных насосов|207
02 5375|8|Масла компрессорные для паровых машин (цилиндровые)|208
02 5376|3|Масла компрессорные для турбокомпрессоров|209
02 5380|5|Масла технологические /|210
02 5381|0|- закалочные|211
02 5382|6|- обкаточные, приработочные|212
02 5384|7|- теплоносители|213
02 5390|4|Масла / различного назначения|214
02 5391|5|- для химической промышленности|215
02 5392|0|- белые для пищевой, парфюмерной и медицинской промышленности|216
02 5393|6|- консервационные|217
02 5394|1|- сланцевые, парафиновые и для печатных красок|218
02 5395|7|- пластификаторы, наполнители и носители|219
02 5396|2|- базовые|220
02 5399|9|- прочие|221
02 5400|2|Смазки пластичные и суспензии для нанесения твердых смазочных покрытий|222
02 5410|7|Смазки пластичные, загущенные простыми мылами /|223
02 5411|2|- антифрикционные|224
02 5412|8|- уплотнительные|225
02 5419|6|- прочие|226
02 5420|1|Смазки пластичные, загущенные комплексными мылами /|227
02 5421|7|- антифрикционные|228
02 5430|6|Смазки пластичные, загущенные смешанными мылами и добавками /|229
02 5431|1|- антифрикционные|230
02 5432|7|- уплотнительные|231
02 5434|8|- фрикционные|232
02 5440|0|Смазки пластичные, загущенные неорганическими продуктами /|233
02 5441|6|- антифрикционные|234
02 5442|1|- уплотнительные|235
02 5443|7|- защитно-консервационные|236
02 5450|5|Смазки пластичные, загущенные органическими продуктами (кроме углеводородов) /|237
02 5451|0|- антифрикционные|238
02 5460|0|Смазки пластичные, загущенные углеводородами /|239
02 5461|5|- антифрикционные|240
02 5462|0|- уплотнительные|241
02 5463|6|- защитно-консервационные|242
02 5464|1|- фрикционные|243
02 5470|4|Суспензии для нанесения твердых смазочных покрытий /|244
02 5471|4|- антифрикционные|245
02 5500|6|Углеводороды твердые (нефтяные и сланцевые)|246
02 5510|0|Парафины нефтяные /|247
02 5511|6|- твердые белые|248
02 5512|1|- твердые желтые|249
02 5513|7|- жидкие мягкие|250
02 5519|0|- прочие|251
02 5520|5|Церезины и композиции церезиновые|252
02 5521|0|Церезины|253
02 5522|6|Композиции церезиновые|254
02 5530|7|Вазелины нефтяные, петролатумы и озокериты нефтяные|255
02 5531|5|Вазелины нефтяные|256
02 5533|6|Петролатумы Пояснение: попутный продукт депарафинизации дистиллятных и остаточных масел|257
02 5534|1|Озокериты нефтяные|258
02 5540|4|Продукция восковая (нефтяная)|259
02 5541|0|Составы для заливки кабельных муфт|260
02 5542|5|Массы прошпарочные и заливочные для кабелей связи|261
02 5543|0|Составы восковые для пищевой промышленности|262
02 5544|6|Составы восковые пропиточные|263
02 5545|1|Составы восковые для флегматизаторов|264
02 5546|7|Составы восковые различного назначения|265
02 5600|3|Битумы нефтяные и сланцевые|266
02 5610|4|Битумы нефтяные дорожные /|267
02 5611|7|- жидкие|268
02 5612|5|- вязкие|269
02 5620|9|Битумы нефтяные строительные, кровельные, изоляционные и другие /|270
02 5622|0|- вязкие|271
02 5623|5|- пластичные|272
02 5624|0|- высокопластичные|273
02 5625|6|- хрупкие|274
02 5630|3|Битумы нефтяные специального назначения /|275
02 5633|4|- пластичные|276
02 5634|5|- высокопластичные|277
02 5635|0|- хрупкие|278
02 5639|2|- прочие|279
02 5690|0|Битумы нефтяные и сланцевые прочие|280
02 5691|6|Битумы сланцевые|281
02 5700|3|Присадки|282
02 5710|8|Присадки к смазочным материалам /|283
02 5711|3|- антиокислительные|284
02 5712|9|- противокоррозионные и ингибиторы|285
02 5713|4|- моюще-диспергирующие|286
02 5714|4|- противозадирные, противоизносные|287
02 5715|5|- депрессорные|288
02 5716|0|- вязкостные|289
02 5717|6|- противопенные|290
02 5719|7|- прочие|291
02 5720|2|Присадки к топливу /|292
02 5721|8|- антиокислительные|293
02 5722|3|- противоизносные|294
02 5723|9|- антистатические|295
02 5724|4|- антиобледенительные|296
02 5725|8|- повышающие октавное число|297
02 5726|5|- депрессорные|298
02 5727|0|- противодымные и антинагарные|299
02 5729|1|- прочие|300
02 5730|7|Присадки / к смазкам, битумам и различного назначения|301
02 5731|2|- к смазкам|302
02 5732|8|- к битумам|303
02 5739|6|- различного назначения|304
02 5800|7|Нефтепродукты разные|305
02 5810|1|Кислоты нефтяные и их соли|306
02 5811|7|Кислоты нефтяные|307
02 5812|2|Соли нефтяных кислот|308
02 5820|6|Кокс / нефтяной и сланцевый|309
02 5821|1|- нефтяной|310
02 5822|7|- сланцевый|311
02 5830|0|Нефтепродукты смазочно-охлаждающие|312
02 5831|6|Жидкости смазочно-охлаждающие масляные|313
02 5832|1|Жидкости смазочно-охлаждающие эмульгируемые|314
02 5833|7|Пасты нефтяные|315
02 5834|2|Составы технологические для пластического деформирования металлов|316
02 5835|8|Жидкости для технической обработки металлов|317
02 5860|4|Крепители стержневые, гудроны|318
02 5861|0|Крепители стержневые|319
02 5862|5|Гудроны масляные|320
02 5863|0|Гудроны кислые|321
02 5864|6|Сырье для производства нефтебитумов|322
02 5890|8|Нефтепродукты разные прочие|323
02 5891|3|Компоненты высокооктановые|324
02 5892|9|Нефтепродукты отработанные|325
02 5893|4|Мастики|326
02 5898|1|Отходы производства присадок|327
02 5899|7|Нефтепродукты разные прочие, ранее не указанные|328
02 7000|3|Газ горючий природный и искусственный, конденсат газовый, гелий, газ нефтепереработки и пиролиза, продукты газоперерабатывающих заводов|329
02 7100|7|Газ горючий природный и поставляемый в магистральные газопроводы, газ искусственный, конденсат газовый, гелий|330
02 7110|1|Газ горючий природный (газ естественный) /|331
02 7111|7|- газовых и газоконденсатных месторождений (газ природный)|332
02 7112|2|- нефтяных месторождений (газ попутный)|333
02 7120|6|Газ горючий искусственный /|334
02 7121|1|- сланцевый|335
02 7122|7|- коксовый|336
02 7123|2|- доменный|337
02 7124|8|- генераторный|338
02 7125|3|- подземной газификации угля (валовой)|339
02 7130|0|Конденсат газовый /|340
02 7131|6|- нестабильный|341
02 7132|1|- стабильный|342
02 7140|5|Гелий /|343
02 7141|0|- газообразный|344
02 7142|6|- жидкий|345
02 7143|1|Смеси газовые (на основе гелия)|346
02 7150|7|Газ горючий природный после установок промысловой и заводской обработки, поставляемый в магистральные газопроводы /|347
02 7151|5|- сухой (газовых месторождений и подземных хранилищ газа)|348
02 7152|0|- сухой отбензиненный (газоконденсатных и нефтяных месторождений)|349
02 7200|0|Газ нефтепереработки и пиролиза, продукты газоперерабатывающих заводов|350
02 7210|5|Углеводороды газообразные C1, C2 их фракции|351
02 7211|0|Газ нефтеперерабатывающих предприятий сухой|352
02 7212|6|Газ газоперерабатывающих заводов сухой|353
02 7213|1|Смесь метано-водородная|354
02 7214|7|Этан (фракция этановая)|355
02 7216|8|Газ водородосодержащий|356
02 7220|3|Углеводороды газообразные, газ пиролиза /|357
02 7221|5|- керосина|358
02 7222|0|- бензина|359
02 7230|4|Газ сжиженный (газы углеводородные сжиженные)|360
02 7231|7|Пропан (пропановая фракция, включая обработанную пропан-пропиленовую фракцию)|361
02 7232|5|Фракция пропан-пропиленовая|362
02 7233|0|Бутан нормальный (включая отработанную бутан- бутиленовую фракцию)|363
02 7234|6|Изобутан (фракция изобутановая)|364
02 7235|1|Фракция бутан-бутиленовая|365
02 7236|7|Фракция пропан-бутановая (кондиция для быта)|366
02 7239|3|Газы углеводородные сжиженные прочие|367
02 7240|9|Углеводороды жидкие C5 и их фракции|368
02 7241|4|Пентан (пентановая фракция)|369
02 7242|0|Изопентан (изопентановая фракция)|370
02 7250|3|Смеси легкие углеводородные многокомпонентные|371
02 7251|9|Широкая фракция стабилизации нефти Пояснение: широкая фракция легких углеводородов нефтестабилизационных установок|372
02 7252|4|Бензин нестабильный газовый газоперерабатывающих заводов|373
02 7253|4|Рефлюксы процессов каталитического риформинга и прямой перегонки нефти, конденсат от компрессии газов прямой перегонки нефти|374
02 7254|5|Бензин стабильный газовый|375
02 7255|0|Широкая фракция сниженных газов Пояснение: широкая фракция центральных газофрикционирующих установок химической промышленности|376
02 7290|1|Газы нефтепереработки и пиролиза, продукты газоперерабатывающих заводов прочие|377
03 0000|6|УГОЛЬ, ПРОДУКТЫ ПЕРЕРАБОТКИ УГЛЯ, ТОРФ И СЛАНЦЫ ГОРЮЧИЕ|378
03 2000|1|Уголь и продукты переработки угля|379
03 2031|0|Уголь каменный *|380
03 2035|2|Уголь бурый *|381
03 2041|5|Уголь, добытый открытым способом *|382
03 2051|0|Уголь, добытый гидравлическим способом на шахтах *|383
03 2060|9|Переработка угля на обогатительных фабриках *|384
03 2061|4|Переработка каменного угля на обогатительных фабриках *|385
03 2062|3|Выпуск концентрата на обогатительных фабриках (в пересчете на влажность рядового угля) *|386
03 2063|5|Выпуск концентрата каменного угля на обогатительных фабриках *|387
03 2064|0|Переработка угля на обогатительных фабриках для коксования *|388
03 2065|6|Выпуск концентрата для коксования *|389
03 2066|1|Переработка угля на установках механизированной породовыборки *|390
03 2070|3|Рассортировано углей всего (на шахтных сортировках, на обогатительных фабриках, на установках механизированной породовыборки) *|391
03 2071|9|Рассортировано каменного угля (на шахтных сортировках, на обогатительных фабриках, на установках механизированной породовыборки) *|392
03 2072|4|Рассортировано угля на обогатительных фабриках *|393
03 2082|9|Выпуск антрацита крупных сортов (классов) *|394
03 2087|6|Выпуск антрацита и полуантрацита крупных и средних сортов с обогатительных фабрик *|395
03 2090|2|Брикеты угольные *|396
03 2100|5|Уголь донецкий|397
03 2110|2|Уголь донецкий / спекающийся марки К + ОС + Ж|398
03 2111|5|- марки К - коксовый|399
03 2112|0|- марки Ж - жирный|400
03 2113|6|- марки ОС - отощенный спекающийся|401
03 2120|4|Уголь донецкий / марок ГЖ, Г, Д|402
03 2121|6|- марки ГЖ - газовый жирный|403
03 2122|5|- марки Г - газовый|404
03 2123|0|- марки Д - длиннопламенный|405
03 2130|9|Уголь донецкий / марок Т, А|406
03 2131|4|- марки Т - тощий|407
03 2132|0|- марки А - антрацит|408
03 2200|9|Уголь кузнецкий|409
03 2201|4|Уголь кузнецкий для коксования *|410
03 2210|3|Уголь кузнецкий / марки К + КЖ|411
03 2211|9|- марки К - коксовый|412
