FullName|ISOAlpha2|ISOAlpha3|NumericCode|OKSMID|ShortName
Мальдивская Республика|MV|MDV|462|125|МАЛЬДИВЫ
Республика Мальта|MT|MLT|470|126|МАЛЬТА
Королевство Марокко|MA|MAR|504|127|МАРОККО
|MQ|MTQ|474|128|МАРТИНИКА
Республика Маршалловы Острова|MH|MHL|584|129|МАРШАЛЛОВЫ ОСТРОВА
Мексиканские Соединенные Штаты|MX|MEX|484|130|МЕКСИКА
Федеративные Штаты Микронезии|FM|FSM|583|131|МИКРОНЕЗИЯ, ФЕДЕРАТИВНЫЕ ШТАТЫ
Республика Мозамбик|MZ|MOZ|508|132|МОЗАМБИК
Республика Молдова|MD|MDA|498|133|МОЛДОВА, РЕСПУБЛИКА
Княжество Монако|MC|MCO|492|134|МОНАКО
|MN|MNG|496|135|МОНГОЛИЯ
|MS|MSR|500|136|МОНТСЕРРАТ
Республика Союза Мьянма|MM|MMR|104|137|МЬЯНМА
Республика Намибия|NA|NAM|516|138|НАМИБИЯ
Республика Науру|NR|NRU|520|139|НАУРУ
Федеративная Демократическая Республика Непал|NP|NPL|524|140|НЕПАЛ
Республика Нигер|NE|NER|562|141|НИГЕР
Федеративная Республика Нигерия|NG|NGA|566|142|НИГЕРИЯ
Королевство Нидерландов|NL|NLD|528|143|НИДЕРЛАНДЫ
Республика Никарагуа|NI|NIC|558|144|НИКАРАГУА
Ниуэ|NU|NIU|570|145|НИУЭ
|NZ|NZL|554|146|НОВАЯ ЗЕЛАНДИЯ
|NC|NCL|540|147|НОВАЯ КАЛЕДОНИЯ
Королевство Норвегия|NO|NOR|578|148|НОРВЕГИЯ
|AE|ARE|784|149|ОБЪЕДИНЕННЫЕ АРАБСКИЕ ЭМИРАТЫ
Султанат Оман|OM|OMN|512|150|ОМАН
|KY|CYM|136|151|ОСТРОВА КАЙМАН
|CK|COK|184|152|ОСТРОВА КУКА
|TC|TCA|796|153|ОСТРОВА ТЕРКС И КАЙКОС
|BV|BVT|74|154|ОСТРОВ БУВЕ
|IM|IMN|833|155|ОСТРОВ МЭН
|NF|NFK|574|156|ОСТРОВ НОРФОЛК
|CX|CXR|162|157|ОСТРОВ РОЖДЕСТВА
|HM|HMD|334|158|ОСТРОВ ХЕРД И ОСТРОВА МАКДОНАЛЬД
Исламская Республика Пакистан|PK|PAK|586|159|ПАКИСТАН
Республика Палау|PW|PLW|585|160|ПАЛАУ
Оккупированная Палестинская территория|PS|PSE|275|161|ПАЛЕСТИНСКАЯ ТЕРРИТОРИЯ, ОККУПИРОВАННАЯ
Республика Панама|PA|PAN|591|162|ПАНАМА
|VA|VAT|336|163|ПАПСКИЙ ПРЕСТОЛ (ГОСУДАРСТВО — ГОРОД ВАТИКАН)
|PG|PNG|598|164|ПАПУА-НОВАЯ ГВИНЕЯ
Республика Парагвай|PY|PRY|600|165|ПАРАГВАЙ
Республика Перу|PE|PER|604|166|ПЕРУ
|PN|PCN|612|167|ПИТКЕРН
Республика Польша|PL|POL|616|168|ПОЛЬША
Португальская Республика|PT|PRT|620|169|ПОРТУГАЛИЯ
|PR|PRI|630|170|ПУЭРТО-РИКО
|RE|REU|638|171|РЕЮНЬОН
Российская Федерация|RU|RUS|643|172|РОССИЯ
Руандийская Республика|RW|RWA|646|173|РУАНДА
|RO|ROU|642|174|РУМЫНИЯ
Независимое Государство Самоа|WS|WSM|882|175|САМОА
Республика Сан-Марино|SM|SMR|674|176|САН-МАРИНО
Демократическая Республика Сан-Томе и Принсипи|ST|STP|678|177|САН-ТОМЕ И ПРИНСИПИ
Королевство Саудовская Аравия|SA|SAU|682|178|САУДОВСКАЯ АРАВИЯ
Королевство Свазиленд|SZ|SWZ|748|179|СВАЗИЛЕНД
|SH|SHN|654|180|СВЯТАЯ ЕЛЕНА, ОСТРОВ ВОЗНЕСЕНИЯ, ТРИСТАН-ДА-КУНЬЯ
Содружество Северных Марианских островов|MP|MNP|580|181|СЕВЕРНЫЕ МАРИАНСКИЕ ОСТРОВА
Республика Сейшелы|SC|SYC|690|182|СЕЙШЕЛЫ
|BL|BLM|652|183|СЕН-БАРТЕЛЕМИ
|MF|MAF|663|184|СЕН-МАРТЕН
|SX|SXM|534|185|СЕН-МАРТЕН (нидерландская часть)
Республика Сенегал|SN|SEN|686|186|СЕНЕГАЛ
|VC|VCT|670|187|СЕНТ-ВИНСЕНТ И ГРЕНАДИНЫ
|KN|KNA|659|188|СЕНТ-КИТС И НЕВИС
|LC|LCA|662|189|СЕНТ-ЛЮСИЯ
|PM|SPM|666|190|СЕН-ПЬЕР И МИКЕЛОН
Республика Сербия|RS|SRB|688|191|СЕРБИЯ
Республика Сингапур|SG|SGP|702|192|СИНГАПУР
